Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
1.326666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.29316954
1.316666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.316426148
1.356666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.223399714
1.393333333,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.138125485
1.37,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.192390904
1.506666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,0.125449412
1.366666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.200143106
1.28,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.40170038
1.43,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.052851253
1.41,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.09936447
1.423333333,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.06835566
1.456666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,0.00916637
1.313333333,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.324178352
1.34,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.262160729
1.34,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.262160729
1.296666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.362939365
1.313333333,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.324178352
1.363333333,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.20789531
1.376666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.176886497
1.615,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.377396003
1.4975,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.104130854
1.64,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.435537524
1.6025,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.348325242
1.5675,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.266927113
1.5975,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.336696938
1.5825,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.301812025
1.7825,3.607578698,16.45076001,4320.03,589529.46,2,1.452725263,0.429985311,0.766944194
1.5675,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.266927113
1.6775,3.607578698,16.45076001,4320.03,589529.46,2,1.452725263,0.429985311,0.522749805
1.5825,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.301812025
1.5825,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.301812025
1.69,3.607578698,16.45076001,4320.03,589529.46,2,1.452725263,0.429985311,0.551820566
1.55,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.226228048
1.53,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.179714831
1.4775,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.057617637
1.5275,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.173900679
1.52,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.156458223
1.52,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.156458223
1.5075,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.127387462
1.6325,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.418095067
1.5825,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.301812025
1.54,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,0.202971439
1.3225,3.607578698,16.45076001,4320.03,589529.46,1,1.452725263,0.429985311,-0.302859794
1.31,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.331930554
1.406666667,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.107116672
1.413333333,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.091612268
1.443333333,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.021842443
1.44,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.029594645
1.31,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.331930554
1.223333333,2.288574538,13.99293568,4458.14,739087.28,0,1.452725263,0.429985311,-0.533487828
1.323333333,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.300921744
1.343333333,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.254408527
1.27,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.424956988
1.37,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.192390904
1.326666667,2.288574538,13.99293568,4458.14,739087.28,1,1.452725263,0.429985311,-0.29316954
1.326666667,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,-0.29316954
1.356666667,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,-0.223399714
1.173333333,1.201610025,13.20238505,4520.92,767813.57,0,1.452725263,0.429985311,-0.64977087
1.46,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,0.016918572
1.366666667,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,-0.200143106
1.496666667,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,0.102192804
1.363333333,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,-0.20789531
1.413333333,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,-0.091612268
1.373333333,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,-0.184638702
1.333333333,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,-0.277665135
1.246666667,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,-0.479222407
1.463333333,1.201610025,13.20238505,4520.92,767813.57,1,1.452725263,0.429985311,0.024670774
1.323333333,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.300921744
1.246666667,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.479222407
1.24,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.494726813
1.103333333,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.812567129
1.193333333,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.603257653
1.136666667,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.7350451
1.203333333,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.580001045
1.216666667,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.548992232
1.336666667,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.269912931
1.446666667,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.014090238
1.263333333,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.440461394
1.186666667,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.618762057
1.316666667,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.316426148
1.32,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.308673946
1.306666667,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.339682756
1.293333333,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.370691569
1.14,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.727292898
1.06,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.913345765
1.296666667,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.362939365
1.253333333,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.463718003
1.156666667,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.688531883
1.09,2.880187558,15.60503631,4767.2,771361.25,0,1.452725263,0.429985311,-0.84357594
1.316666667,2.880187558,15.60503631,4767.2,771361.25,1,1.452725263,0.429985311,-0.316426148
